Report Number,Street Prefix,Street Name,Street Suffix,Intersecting Block Number,Intersecting Street Prefix,Intersecting Street Name,Intersecting Street Suffix,Street Description,At An Intersection,Intersecting Street Description,Crash Date/Time,Fatality,Hit And Run,Location
18-92118,,FORBES,ST,3100,,SYDNEY,ST,,FALSE,,10/14/2018 2:40,FALSE,FALSE,"(32.71588, -97.26937)"
180093155,,IH 30 EB US 287 SB,RAMP,2160,,I.M. TERRELL,WAY,,FALSE,,10/17/2018 19:32,FALSE,FALSE,"(32.74737, -97.31085)"
18-92813,,CAMP BOWIE,BLVD,3100,,BRYANT IRVIN,RD,,FALSE,,10/16/2018 16:31,FALSE,FALSE,"(32.72939, -97.41389)"
18-94268,,NORTH,FWY,2900,,BASSWOOD,BLVD,,FALSE,,10/21/2018 17:40,FALSE,TRUE,"(32.86968, -97.31642)"
180091978,NE,LOOP 820,FWY,4900,,LOW IRON CROSSING,DR,,FALSE,,10/13/2018 16:16,FALSE,FALSE,"(32.84109, -97.35135)"
18-93774,,NORTH,FWY,2980,,BASSWOOD,BLVD,,TRUE,,10/19/2018 21:15,FALSE,TRUE,"(32.8698, -97.31607)"
18-90079,,LIBBEY,AVE,4000,,LITTLEPAGE,ST,,FALSE,,10/7/2018 3:45,FALSE,FALSE,"(32.72075, -97.4108)"
18-90122,,HENDERSON,ST,0,W,7TH,ST,SOUTH BOUND,FALSE,,10/7/2018 11:14,FALSE,FALSE,"(32.75141, -97.33741)"
18-89463,,TIMBERLAND,BLVD,11620,,ROUND LEAF,DR,,FALSE,,10/5/2018 3:41,FALSE,TRUE,"(32.94271, -97.30298)"
18-93846,N,BEACH,ST,0,,BASSWOOD,BLVD,,TRUE,,10/20/2018 0:10,FALSE,FALSE,"(32.87346, -97.29005)"
18-94427,,OAKBEND,TRL,5700,,BRYANT IRVIN,RD,,FALSE,,10/22/2018 10:18,FALSE,FALSE,"(32.66641, -97.4179)"
180093648,,CLIFFORD  CENTER,DR,9300,,CLIFFORD,ST,,FALSE,,10/19/2018 14:19,FALSE,FALSE,"(0, 0)"
18-94274,W,SEMINARY,DR,4300,,BALDWIN,AVE,LOCAL ROAD,TRUE,LOCAL ROAD,10/21/2018 18:08,FALSE,FALSE,"(32.68445, -97.31115)"
18-90285,,JACKSBORO,HWY,1300,W,NORTHSIDE,DR,,FALSE,,10/8/2018 22:00,FALSE,FALSE,"(32.77201, -97.36228)"
18-92774,,AIRPORT,FWY,900,N,BEACH,ST,,TRUE,,10/16/2018 15:20,FALSE,FALSE,"(32.77417, -97.28856)"
18-94389,,JONES,ST,300,E,16TH,ST,,FALSE,,10/22/2018 7:50,FALSE,FALSE,"(32.78021, -97.34531)"
18-92956,,JACKSBORO,HWY,900,N,UNIVERSITY,DR,,FALSE,,10/17/2018 8:00,FALSE,FALSE,"(32.77201, -97.36228)"
18-090968,,NORTH SOUTH,FWY,0,,,,,FALSE,SPUR 280,10/10/2018 6:27,FALSE,TRUE,"(32.75699, -97.31896)"
18-92977,,SANBORN,ST,2800,,CARTER,AVE,LOCAL ROAD,TRUE,LOCAL ROAD,10/17/2018 10:40,FALSE,FALSE,"(32.74711, -97.28436)"
18-94121,,LINCOLN,AVE,800,NW,15,ST,RESIDENTIAL ROAD,FALSE,,10/21/2018 2:54,FALSE,FALSE,"(32.77786, -97.35553)"
180093807,,WEST,FWY,11300,,CAMP BOWIE WEST,BLVD,LEVEL PAVED WET NOT LIGHTED,FALSE,,10/19/2018 21:44,FALSE,FALSE,"(32.72366, -97.5159)"
180092840,,EAST LOOP 820,,7800,,TRINITY,BLVD,,FALSE,,10/16/2018 17:40,FALSE,TRUE,"(32.7491, -97.22072)"
18-93635,,SAMUELS,AVE,1900,,NORTH PARK,DR,,TRUE,,10/19/2018 13:24,FALSE,FALSE,"(32.78015, -97.33576)"
18-92597,,SOUTH,FWY,600,,RIPY,ST,,FALSE,,10/15/2018 23:21,FALSE,FALSE,"(32.70272, -97.3205)"
18-93599,,FOREST PARK,BLVD,2300,,WEST,FWY,,TRUE,,10/19/2018 11:42,FALSE,FALSE,"(25.9192, -100.0076)"
18-93606,,NORTH,FWY,8700,NW,HIGHWAY 287,,,FALSE,,10/19/2018 11:58,FALSE,TRUE,"(32.88558, -97.31736)"
18-92649,W,CLEBURNE,RD,8400,S,HULEN,ST,,FALSE,,10/16/2018 8:00,FALSE,TRUE,"(32.6195, -97.38576)"
180091404,,MARK IV,PKWY,2300,,NORTHEAST LOOP 820,FWY,,TRUE,LOOP 820 SR EB,10/11/2018 15:40,FALSE,FALSE,"(32.8441, -97.32118)"
18-92848,,BOMAR,AVE,2300,,TORONTO,ST,,FALSE,,10/16/2018 17:30,FALSE,TRUE,"(32.74573, -97.28202)"
18-93143,,EAST LOOP 820 NORTH FWY SB,FWY,7800,,TRINITY,BLVD,PAVED,FALSE,PAVED,10/17/2018 18:43,FALSE,FALSE,"(0, 0)"
180094297,,MC CART,AVE,3400,,GALEMEADOW,DR,,TRUE,,10/21/2018 19:48,FALSE,FALSE,"(32.63049, -97.36975)"
18-92829,,GRANBURY,RD,4200,,GORMAN,DR,CONCRETE,TRUE,,10/16/2018 17:45,FALSE,FALSE,"(0, 0)"
18-93913,,CRENSHAW,AVE,2800,,CAMPBELL,ST,,FALSE,,10/22/2018 10:17,FALSE,TRUE,"(32.71842, -97.2723)"
18-91337,,HEMPHILL,ST,900,W,ROSEDALE,ST,,TRUE,,10/11/2018 11:17,FALSE,FALSE,"(32.73251, -97.33159)"
18-93820,,BENBROOK,HWY,7400,,KERMIT,AVE,PUBLIC ROADWAY,TRUE,PUBLIC ROADWAY,10/19/2018 22:49,FALSE,FALSE,"(32.71348, -97.44555)"
18-89042,,STADIUM,DR,3300,,BELLAIRE DR N,,,FALSE,,10/3/2018 18:25,FALSE,FALSE,"(32.70764, -97.36502)"
18-94695,,EL CAMPO,AVE,2400,,BELLE,PL,LOCAL ROAD,TRUE,LOCAL ROAD,10/23/2018 8:33,FALSE,FALSE,"(32.73616, -97.37679)"
18-94678,,WEST,FWY,3800,,LIVE OAK,ST,,FALSE,,10/23/2018 6:30,FALSE,FALSE,"(32.72093, -97.53129)"
180092223,,RAMEY,AVE,2400,,MILLER,AVE,,FALSE,,10/14/2018 14:55,FALSE,FALSE,"(32.72126, -97.26236)"
180093550,NE,,,0,N,RIVERSIDE,DR,,FALSE,,10/18/2018 19:49,TRUE,FALSE,"(32.84023, -97.30813)"
18-93224,E,LOOP 820 SOUTH,FWY,5300,,SUN VALLEY,DR,,FALSE,,10/18/2018 3:23,FALSE,FALSE,"(32.68253, -97.24061)"
180093750,E,LANCASTER,AVE,400,S,COLLARD,ST,,FALSE,,10/19/2018 20:09,FALSE,TRUE,"(32.74746, -97.36567)"
18-92665,N,MAIN,ST,100,NW,24TH,ST,,FALSE,,10/16/2018 9:20,FALSE,FALSE,"(32.78848, -97.34916)"
18-94739,,SOUTHWEST,BLVD,4200,,INSURANCE,LN,,TRUE,,10/23/2018 11:32,FALSE,FALSE,"(32.68526, -97.40185)"
18-93675,,EASTCHASE,PKWY,8300,,BRENTWOOD STAIR,RD,,TRUE,,10/19/2018 15:40,FALSE,FALSE,"(32.75149, -97.17178)"
18-93617,S,UNIVERSITY,DR,3000,,WEST,FWY,,TRUE,,10/19/2018 12:15,FALSE,FALSE,"(32.73301, -97.36146)"
18-94393,S,FWY,FWY,700,E,FELIX,ST,PAVED ROADWAY,FALSE,PAVED ROADWAY,10/22/2018 8:15,FALSE,FALSE,"(32.67443, -97.32056)"
18-94677,S,FWY,FWY,100,,GARDEN ACRES,,PAVED,FALSE,PAVED ROAD,10/23/2018 6:28,FALSE,FALSE,"(32.60132, -97.3196)"
18-94685,,IH-20 W/B,HWY,5600,,IH-35 N/B,,,TRUE,ON RAMP,10/23/2018 7:36,FALSE,TRUE,"(0, 0)"
18-92954,,FOREST HILL,DR,4091,,CLEARFIELD,DR,PAVED,FALSE,PAVED ROAD,10/17/2018 8:25,FALSE,FALSE,"(32.6407, -97.2699)"
18-92364,,HARMON,RD,11400,E,HARMON,RD,,FALSE,,10/14/2018 23:59,FALSE,FALSE,"(0, 0)"
18-94203,,NORTH,FWY,3000,,WESTERN CENTER,BLVD,MAIN ROADWAY,FALSE,MAIN RAODWAY,10/21/2018 13:40,FALSE,FALSE,"(32.85053, -97.31296)"
18-92915,,HANDLEY,DR,6591,,NORMANDY,RD,,FALSE,,10/17/2018 2:11,FALSE,TRUE,"(32.74912, -97.2163)"
18-92955,,MCCART,AVE,2600,,WALTON,AVE,,FALSE,,10/17/2018 8:20,FALSE,FALSE,"(32.66297, -97.35597)"
18-92929,,TRINITY,BLVD,4000,,STATE HWY 360,,,FALSE,,10/17/2018 6:40,FALSE,TRUE,"(32.82216, -97.6319)"
18-92948,NE,28TH,ST,2800,,DEEN,RD,,FALSE,,10/17/2018 7:41,FALSE,FALSE,"(32.79703, -97.37375)"
18-92950,,JUDD,ST,2800,,YUMA,ST,,FALSE,,10/17/2018 8:15,FALSE,FALSE,"(32.71215, -97.30678)"
18-92914,W,7TH,ST,800,,PENN,ST,CONCRETE,FALSE,CONCRETE,10/17/2018 1:46,FALSE,TRUE,"(32.751, -97.34334)"
18-92961,,GRAVEL,DR,0,S,JACK NEWEL,BLVD,,FALSE,,10/17/2018 8:27,FALSE,FALSE,"(32.78596, -97.21739)"
18-92991,,EAST,FWY,0,,OAKLAND,BLVD,LOCAL ROAD,FALSE,LOCAL ROAD,10/17/2018 10:15,FALSE,FALSE,"(32.75219, -97.27522)"
180092562,E,RENDON CROWLEY,RD,12300,,SOUTH FWY SR NB,,,TRUE,,10/15/2018 20:00,FALSE,TRUE,"(32.57853, -97.31254)"
18-92878,,183,HWY,100,,BEAR CREEK,RD,HWY 183,FALSE,LOCAL ROAD,10/16/2018 21:30,FALSE,TRUE,"(32.83707, -97.06592)"
18-91661,N,SOUTH,FWY,1180,,10TH,ST,,FALSE,,10/12/2018 13:03,FALSE,FALSE,"(32.75501, -97.31941)"
18-92268,,CHERRY,LN,7900,,WEST FWY SR WB,RD,LOCAL ROAD,TRUE,SERVICE ROAD,10/14/2018 19:35,FALSE,FALSE,"(32.73835, -97.45178)"
18-0092103,,MISSISSIPPI,AVE,1127,E,CANTEY,ST,CITY STREET,FALSE,CITY STREET,10/14/2018 2:04,FALSE,TRUE,"(32.71174, -97.31262)"
180092134,N,TARRANT,PKWY,8500,,PARKWOOD HILL,BLVD,,TRUE,,10/14/2018 4:10,FALSE,FALSE,"(32.89479, -97.26412)"
18-93116,,US HWY 287 SB EAST LOOP 820 SOUTH NB,RAMP,5300,,MANSFIELD,HWY,,FALSE,,10/17/2018 16:53,FALSE,FALSE,"(0, 0)"
18-93020,,LEA CREST,LN,6200,,TEN MILE BRIDGE,RD,,FALSE,,10/17/2018 12:01,FALSE,FALSE,"(32.83547, -97.42093)"
18-93083,S,MLK,HWY,5300,,MARTIN ST,,,FALSE,,10/17/2018 15:47,FALSE,FALSE,"(0, 0)"
18-93014,N,BEACH,ST,4500,,WESTERN CENTER,BLVD,,FALSE,,10/17/2018 11:40,FALSE,TRUE,"(32.86332, -97.29063)"
180092277,W,SEMINARY,DR,4300,,TRAVIS,AVE,,FALSE,,10/15/2018 20:54,FALSE,FALSE,"(32.68435, -97.32062)"
18-92299,,NORTH FWY SR NB,RAMP,3100,,WESTERN CENTER,BLVD,,TRUE,,10/14/2018 21:45,FALSE,TRUE,"(32.86086, -97.31374)"
18-93004,,WELCH,AVE,5800,,TRAIL LAKE,DR,,TRUE,,10/17/2018 11:15,FALSE,FALSE,"(32.66287, -97.38992)"
180092549,,EASTCHASE,PKWY,8600,,ANDERSON,BLVD,RESIDENTIAL,TRUE,RESIDENTIAL,10/15/2018 20:24,FALSE,FALSE,"(32.76199, -97.16719)"
18-92883,W,RENDON CROWLEY,RD,12450,,SOUTH FWY SR SB,,,FALSE,,10/16/2018 21:58,FALSE,FALSE,"(32.57853, -97.31254)"
180094645,,SYCAMORE SCHOOL,RD,7900,,CROWLEY,RD,,FALSE,,10/23/2018 22:19,FALSE,FALSE,"(32.635, -97.35046)"
18-93105,S,UNIVERSITY,DR,3800,,COLLINSWORTH,ST,,FALSE,,10/17/2018 16:01,FALSE,FALSE,"(32.74346, -97.36151)"
18-92565,,,,0,,SYLVANIA,,,FALSE,,10/15/2018 21:12,FALSE,FALSE,"(32.74939, -97.29086)"
18-93039,,I-20,FWY,5300,,MANSFIELD,HWY,,FALSE,,10/17/2018 12:41,FALSE,FALSE,"(0, 0)"
180092246,,RAMEY,AVE,2400,,MILLER,AVE,,FALSE,,10/14/2018 14:55,FALSE,FALSE,"(32.72126, -97.26236)"
18-92556,N,BEACH,ST,4500,,WESTERN CENTER,BLVD,,FALSE,,10/15/2018 19:30,FALSE,TRUE,"(32.86619, -97.29131)"
18-92541,,MEADOWBROOK,DR,2200,,STURGESS,DR,CITY STREET,TRUE,CITY STREET,10/15/2018 20:06,FALSE,FALSE,"(32.74606, -97.2346)"
18-93112,,NORTH,FWY,2900,,HERITAGE TRACE,PKWY,,FALSE,,10/17/2018 16:30,FALSE,FALSE,"(32.91745, -97.31706)"
18-93124,,IH 20 EB,FWY,14000,,IH 30 WB,FWY,,TRUE,,10/17/2018 17:20,FALSE,FALSE,"(32.72108, -97.56854)"
18-94897,,MONTGOMERY,ST,3600,,EL CAMPO,AVE,,TRUE,,10/23/2018 19:35,FALSE,FALSE,"(32.73654, -97.36997)"
18-91805,,NORTH,FWY,2400,,NORTHEAST LOOP 820,FWY,,FALSE,,10/12/2018 20:11,FALSE,FALSE,"(32.85053, -97.31296)"
18-92311,,MARTIN LUTHER KING,FWY,4600,,VILLAGE CREEK,RD,,FALSE,,10/14/2018 23:18,FALSE,FALSE,"(32.69504, -97.24925)"
18-93029,N,RIVERSIDE,DR,3265,,AIRPORT,FWY,,FALSE,,10/17/2018 12:30,FALSE,TRUE,"(32.76275, -97.30172)"
18-92865,,SOUTHWEST,BLVD,4200,,INTERNATIONAL,PLZ,CITY STREET,FALSE,CITY STREET,10/16/2018 20:05,FALSE,FALSE,"(32.68767, -97.40774)"
180093062,,BRYANT IRVIN,RD,6400,,BRIERCLIFF,CT,,FALSE,,10/17/2018 13:13,FALSE,FALSE,"(32.6473, -97.42857)"
18-93033,N,FRWY,FWY,3000,,WESTERN CENTER,BLVD,,FALSE,,10/17/2018 12:34,FALSE,FALSE,"(0, 0)"
18-92232,N,HENDERSON,ST,2400,,SHAMROCK,AVE,,FALSE,,10/14/2018 16:06,FALSE,TRUE,"(32.74836, -97.33742)"
18-92742,,AIRPORT,FWY,0,,AIRPORT,FWY,N/A,FALSE,,10/16/2018 13:40,FALSE,FALSE,"(32.76596, -97.31534)"
18-94923,,,,14100,,TRINITY,BLVD,,FALSE,,10/23/2018 21:31,FALSE,FALSE,"(32.81381, -97.05647)"
18-92352,S,US HWY 287,HWY,2100,E,MADDOX,AVE,HIGHWAY OVERPASS,FALSE,ROADWAY,10/15/2018 7:45,FALSE,FALSE,"(32.72679, -97.29816)"
18-92321,,VALKUS,ST,400,,BOSTICK,ST,,FALSE,,10/15/2018 0:20,FALSE,TRUE,"(32.74082, -97.29527)"
18-92379,,MITCHELL,BLVD,3400,,MITCHELL,BLVD,,FALSE,LOWRIEMORE,10/15/2018 9:24,FALSE,TRUE,"(32.71192, -97.28882)"
18-92811,,TRAVERTINE,LN,6000,N,RIVERSIDE,DR,,FALSE,,10/16/2018 15:15,FALSE,TRUE,"(32.85291, -97.30157)"
18-93184,,EAST FREEWAY,,1350,,OAKLAND,BLVD,,FALSE,,10/17/2018 22:00,FALSE,FALSE,"(32.75697, -97.26533)"
18-92444,W,CAMP BOWIE,,3300,,REAGAN,DR,,FALSE,,10/15/2018 14:47,FALSE,FALSE,"(0, 0)"
180092355,,JACKSBORO,HWY,6300,,TENDERFOOT,TRL,,FALSE,,10/15/2018 7:40,FALSE,TRUE,"(32.85787, -97.51633)"
18-93168,,KINGSWOOD,DR,7300,S,HULEN,ST,,TRUE,,10/17/2018 20:48,FALSE,TRUE,"(32.64111, -97.39213)"
18-92334,,JACKSBORO,HWY,1900,W,LONG,AVE,CONCRETE ROAD,FALSE,CONCRETE ROAD,10/15/2018 3:10,FALSE,FALSE,"(32.78689, -97.38503)"
18-92721,,TRAIL LAKE,DR,6100,S,HULEN,ST,,FALSE,,10/16/2018 12:37,FALSE,FALSE,"(32.65943, -97.39495)"
18-92749,S,RIVERSIDE,DR,1600,E,ARLINGTON,AVE,,TRUE,,10/16/2018 14:13,FALSE,FALSE,"(32.79052, -97.30198)"
18-88913,,SHADYDELL,DR,0,,MIZZENMAST,ST,,FALSE,,10/3/2018 11:50,FALSE,FALSE,"(0, 0)"
18-92827,,EASTCHASE,PKWY,8500,,MEADOWBROOK,BLVD,,FALSE,,10/16/2018 17:35,FALSE,FALSE,"(0, 0)"
18-93140,,BRENTWOOD STAIR,RD,1700,,HANDLEY,DR,,TRUE,,10/17/2018 18:30,FALSE,FALSE,"(0, 0)"
18-92866,,IM TERRELL,WAY,1400,E,19TH,ST,LOCAL ROAD,FALSE,LOCAL ROAD,10/16/2018 19:50,FALSE,FALSE,"(0, 0)"
18-92429,S,HULEN,ST,4800,,OVERTON PLAZA,,,TRUE,,10/15/2018 13:43,FALSE,FALSE,"(32.68406, -97.39248)"
18-88987,,RAILHEAD,RD,5300,,BLUE MOUND,RD,,FALSE,,10/3/2018 15:52,FALSE,FALSE,"(32.83577, -97.34873)"
18-93164,,MCCART,AVE,3400,,CHARLESTON,AVE,CONCRETE,FALSE,,10/17/2018 18:26,FALSE,TRUE,"(0, 0)"
18-92715,E,ROSEDALE,ST,1200,,MARTIN LUTHER KING,FWY,,TRUE,,10/16/2018 12:47,FALSE,FALSE,"(32.73122, -97.2977)"
18-92843,N,RIVERSIDE,DR,3500,,GOLDEN TRIANGLE,BLVD,,TRUE,,10/16/2018 18:00,FALSE,FALSE,"(0, 0)"
18-92814,,MILLER,AVE,4200,,KILLIAN,ST,,TRUE,,10/16/2018 16:45,FALSE,TRUE,"(32.70045, -97.26295)"
18-93185,,RIVER RANCH,BLVD,5000,,OVERTON RIDGE,BLVD,,FALSE,,10/17/2018 22:05,FALSE,FALSE,"(32.67561, -97.40337)"
180092596,,BASSWOOD,BLVD,0,,HORSEMAN,RD,,TRUE,,10/15/2018 17:45,FALSE,FALSE,"(32.87273, -97.32567)"
18-93156,,NORTH,FWY,2400,,WESTPORT,PKWY,,FALSE,,10/17/2018 19:37,FALSE,FALSE,"(32.96215, -97.31035)"
18-93137,,NORTH,FWY,900,,EAST,FWY,IH 35W NB IH30 RAMP WB,FALSE,,10/17/2018 18:16,FALSE,FALSE,"(32.76546, -97.31732)"
18-92777,,GRANBURY,RD,5200,,WONDER,DR,PARKING LOT,FALSE,LOCAL ROAD,10/16/2018 15:01,FALSE,TRUE,"(32.67276, -97.38348)"
18-92531,N,FOREST PARK,BLVD,2400,W,FWY HC WB,,,FALSE,,10/15/2018 19:04,FALSE,FALSE,"(32.73846, -97.35371)"
18-92795,,BRYANT IRVIN,RD,5800,,RECREATION,AVE,,TRUE,,10/16/2018 16:07,FALSE,FALSE,"(32.7241, -97.41348)"
18-92611,,NORTH FWY SR NB,,2400,,ALLIANCE GATEWAY,FWY,,FALSE,,10/16/2018 1:00,FALSE,FALSE,"(32.96511, -97.31031)"
18-90132,,WALTON,AVE,5600,,VEGA,DR,,FALSE,,10/7/2018 11:49,FALSE,TRUE,"(32.6629, -97.37222)"
18-90160,,WESTERN CENTER,BLVD,6500,,SPOONWOOD,LN,,FALSE,,10/7/2018 14:59,FALSE,FALSE,"(32.86109, -97.29168)"
18-91920,,BOAT CLUB,RD,6300,,TEN MILE BRIDGE,RD,,FALSE,,10/13/2018 11:56,FALSE,FALSE,"(0, 0)"
18-92024,,EAST FWY WB,,8900,,RANDOL MILL,RD,,FALSE,,10/13/2018 20:27,FALSE,TRUE,"(32.76009, -97.16003)"
18-092642,,EAST LOOP 820,,6600,,BRENTWOOD STAIR,RD,,TRUE,,10/16/2018 7:35,FALSE,FALSE,"(32.75382, -97.21757)"
180091980,,RENAISSANCE SQ,,3400,,MORIAH,WAY,,FALSE,,10/13/2018 16:14,FALSE,FALSE,"(0, 0)"
18-92702,,HEMPHILL,ST,600,SW,LOOP 820,,,FALSE,,10/16/2018 11:38,FALSE,FALSE,"(32.6648, -97.33182)"
180092697,,STEPHENSON,ST,0,,LUELLA,ST,,FALSE,,10/16/2018 10:57,FALSE,FALSE,"(32.74962, -97.31822)"
18-92615,,NORTH,FWY,2400,,ALIANCE GATEWAY,FWY,PUBLIC HIGHWAY,FALSE,PUBLIC HIGHWAY,10/16/2018 3:40,FALSE,TRUE,"(32.96511, -97.31031)"
180091996,,KROGER,DR,5600,,PARK VISTA,CIR,,TRUE,,10/13/2018 17:27,FALSE,FALSE,"(32.91144, -97.26676)"
18-92659,E,LOOP 820,FWY,6200,,MEADOWBROOK,DR,E LOOP 820 FWY SB,FALSE,LOCAL ROAD,10/16/2018 8:50,FALSE,FALSE,"(0, 0)"
18-092639,,CROWLEY,RD,1900,,EVERMAN,PKWY,,FALSE,,10/16/2018 7:00,FALSE,TRUE,"(32.63709, -97.34854)"
18-90128,N,CROWLEY CLEBURNE,RD,9400,,CARSON RANCH,RD,TWO WAY DIVIDED ROAD,FALSE,,10/7/2018 11:04,FALSE,FALSE,"(32.60724, -97.37668)"
18-94052,,HERITAGE TRACE,PKWY,9690,,SAGE MEADOW,TRL,PUBLIC ROAD,TRUE,PUBLIC ROAD,10/20/2018 21:46,FALSE,FALSE,"(32.91445, -97.31252)"
180092019,,SOUTH FWY SR SB,,100,,MCPHERSON,BLVD,CONCRETE,FALSE,CONCRETE,10/13/2018 20:10,FALSE,TRUE,"(32.60234, -97.31981)"
18-92632,,MEACHAM,BLVD,4600,,GOLD SPIKE,DR,,FALSE,,10/16/2018 6:10,FALSE,FALSE,"(32.82573, -97.34843)"
18-92653,N,BEACH,ST,4000,,GLENVIEW,DR,,FALSE,,10/16/2018 8:32,FALSE,FALSE,"(32.83, -97.29)"
18-92626,,NORTH,FWY,3000,N,TARRANT,PKWY,,FALSE,,10/16/2018 5:45,FALSE,FALSE,"(32.89595, -97.31733)"
18-91953,,STATE HWY 183,HWY,4900,,CAMBRIDGE,RD,,FALSE,,10/13/2018 15:09,FALSE,FALSE,"(0, 0)"
18-92613,,WEST,FWY,2750,,LONGVUE,AVE,,FALSE,,10/16/2018 3:05,FALSE,FALSE,"(32.73517, -97.49138)"
18-91826,,Y C SHAMBLEE,DR,904,E,SHAW,ST,,FALSE,,10/12/2018 23:20,FALSE,FALSE,"(0, 0)"
18-92635,,NORTH,FWY,2994,,GOLDEN TRIANGLE,BLVD,,FALSE,,10/16/2018 6:14,FALSE,FALSE,"(32.92544, -97.3172)"
18-92621,,N FWY,,128,,IH 35W NB NORTH TARRANT,RAMP,,FALSE,,10/16/2018 5:02,FALSE,FALSE,"(0, 0)"
18-92660,,EAST LOOP 820 SOUTH,,5500,,WILBARGER,ST,,FALSE,,10/16/2018 9:00,FALSE,TRUE,"(32.69911, -97.23691)"
180091822,N,RIVERSIDE,ST,0,,GENERAL WORTH,DR,,TRUE,,10/12/2018 22:56,FALSE,FALSE,"(0, 0)"
18-92625,,NORTH,FWY,0,N,TARRANT,PKWY,,FALSE,,10/16/2018 5:03,FALSE,FALSE,"(32.89595, -97.31733)"
180092624,,NORTH,FWY,0,E,BELKNAP,ST,SOUTH BOUND,FALSE,,10/16/2018 6:19,FALSE,FALSE,"(32.76616, -97.31866)"
18-93324,E,LONG,AVE,2500,NE,33RD,ST,,TRUE,,10/18/2018 13:00,FALSE,FALSE,"(32.80932, -97.3154)"
18-94850,,NORTH,FWY,3000,,WESTERN CENTER,BLVD,,FALSE,,10/23/2018 17:05,FALSE,FALSE,"(32.8698, -97.31607)"
18-95037,,CAMP BOWIE WEST,BLVD,3300,,BROADMOORE,DR,,TRUE,,10/24/2018 10:01,FALSE,FALSE,"(32.72367, -97.45626)"
18-94762,,IH 20,,4600,,BRYANT IRVIN,RD,,FALSE,,10/23/2018 12:31,FALSE,FALSE,"(32.85954, -97.31266)"
18-93449,E,BERRY,ST,3000,,NEW YORK,AVE,,TRUE,,10/18/2018 20:39,FALSE,FALSE,"(32.70598, -97.33489)"
180091717,,ALSTON,AVE,900,W,MADDOX,AVE,,FALSE,,10/12/2018 15:43,FALSE,FALSE,"(32.72655, -97.33422)"
18-90159,W,VICKERY,BLVD,1700,,SUMMIT,AVE,,TRUE,,10/7/2018 14:50,FALSE,FALSE,"(32.73972, -97.30736)"
18-91726,NW,25TH,ST,2500,,ROSS,AVE,,TRUE,,10/12/2018 16:20,FALSE,FALSE,"(32.78993, -97.3547)"
18-93232,W,WEATHERFORD,ST,100,N,HOUSTON,ST,,TRUE,,10/18/2018 6:36,FALSE,FALSE,"(32.75732, -97.33256)"
18-93226,,EAST LOOP 820 SOUTH,,5300,,SUN VALLEY,DR,,FALSE,,10/18/2018 3:23,FALSE,TRUE,"(32.68104, -97.24102)"
18-93493,,OAKMONT BLVD,,6000,,CHISHOLM TRAIL,PKWY,,FALSE,,10/18/2018 23:15,FALSE,FALSE,"(32.66287, -97.41631)"
18-93229,,NORTH,FWY,11200,,TIMBERLAND,BLVD,,FALSE,,10/18/2018 5:12,FALSE,FALSE,"(32.9548, -97.3104)"
18-93992,N,FREEWAY,FWY,3000,,KELLER HICKS,RD,MULTILANE ROADWAY,FALSE,MULTILANE ROADWAY,10/20/2018 17:46,FALSE,FALSE,"(32.9432, -97.3124)"
18-93235,,STATE HWY 121 WB IH 35W NB,RAMP,300,,IH 35W NB STATE HWY 121 EB,RAMP,,TRUE,,10/18/2018 7:05,FALSE,TRUE,"(0, 0)"
18-93240,,NORTH SOUTH,FWY,100,,IH 35W NB SH 121 EB,RAMP,,FALSE,,10/18/2018 7:20,FALSE,TRUE,"(32.76061, -97.31868)"
18-90242,,ALTAMESA,BLVD,6680,,HEMPHILL,ST,PAVED,TRUE,PAVED,10/7/2018 19:30,FALSE,TRUE,"(32.65329, -97.30861)"
18-93485,,EAST,FWY,1300,,BRIDGEWOOD,DR,6400 EAST FWY,FALSE,1300 BRIDGEWOOD DR,10/18/2018 23:25,FALSE,FALSE,"(32.75969, -97.21648)"
18-93234,,STATE HWY 183 EB ST HWY 360 SB,RAMP,0,,STATE HWY 360,HWY,,FALSE,,10/18/2018 6:44,FALSE,TRUE,"(0, 0)"
180091725,,HEMPHILL,ST,600,W,ANTHONY,ST,,TRUE,,10/12/2018 16:19,FALSE,FALSE,"(32.68626, -97.33175)"
180091738,S,US HWY 287,,4931,,VILLAGE CREEK,,,FALSE,,10/12/2018 17:18,FALSE,TRUE,"(32.6944, -97.27868)"
18-91813,,CHAPEL CREEK,BLVD,10200,,WINKLER,DR,,FALSE,,10/12/2018 22:28,FALSE,FALSE,"(32.73266, -97.50374)"
18-93255,,US 287,HWY,1701,,EAST FWY WB,,,FALSE,,10/18/2018 8:30,FALSE,FALSE,"(32.74962, -97.30997)"
18-94572,W,RISINGER,,8500,,TANGLERIDGE,,,FALSE,,10/22/2018 19:07,FALSE,FALSE,"(32.61643, -97.3979)"
18-93937,,STATE HWY 183 WB,,4900,,AMON CARTER,BLVD,,FALSE,,10/20/2018 12:17,FALSE,TRUE,"(0, 0)"
18-92484,,MCCART,AVE,2500,,SOUTHWEST LOOP,FWY,ASPHAULT,FALSE,,10/15/2018 16:18,FALSE,FALSE,"(0, 0)"
18-93244,,CALIFORNIA,PKWY,5700,,LENORE,ST,,FALSE,,10/18/2018 7:55,FALSE,FALSE,"(32.66396, -97.3388)"
